support,itemsets,length
0.14015682299275514,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),1
0.08514951849974658,frozenset({'REGENCY CAKESTAND 3 TIER'}),1
0.07465489997316717,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),1
0.07128588891207775,frozenset({'JUMBO BAG RED RETROSPOT'}),1
0.05786947318207567,frozenset({'PARTY BUNTING'}),1
0.05670671715214216,frozenset({'LUNCH BAG  BLACK SKULL.'}),1
0.05494767597865299,frozenset({'REX CASH+CARRY JUMBO SHOPPER'}),1
0.05271160669031931,frozenset({'HOME BUILDING BLOCK WORD'}),1
0.05157866491756358,frozenset({'HEART OF WICKER SMALL'}),1
0.05131033660296354,frozenset({'HEART OF WICKER LARGE'}),1
0.051250708088607974,frozenset({'WOODEN FRAME ANTIQUE WHITE'}),1
0.05005813780149668,frozenset({'LUNCH BAG SPACEBOY DESIGN'}),1
0.049402224143585464,frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),1
0.04874631048567425,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS""})",1
0.04871649622849647,frozenset({'LUNCH BAG CARS BLUE'}),1
0.0481500253421186,frozenset({'JUMBO STORAGE BAG SUKI'}),1
0.04803076831340747,frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),1
0.04767299722727408,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),1
0.04725559762678513,frozenset({'60 TEATIME FAIRY CAKE CASES'}),1
0.047225783369607345,frozenset({'NATURAL SLATE HEART CHALKBOARD'}),1
0.04621209862556275,frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),1
0.04433380042336245,frozenset({'BAKING SET 9 PIECE RETROSPOT'}),1
0.04311141587907337,frozenset({'LOVE BUILDING BLOCK WORD'}),1
0.04308160162189559,frozenset({'JUMBO BAG STRAWBERRY'}),1
0.04182940282042873,frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),1
0.041799588563250945,frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),1
0.041650517277362034,frozenset({'VINTAGE SNAP CARDS'}),1
0.04156107450582869,frozenset({'VICTORIAN GLASS HANGING T-LIGHT'}),1
0.041203303419695296,frozenset({'CHOCOLATE HOT WATER BOTTLE'}),1
0.04111386064816195,frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),1
0.040010733132584,frozenset({'PLEASE ONE PERSON METAL SIGN'}),1
0.03986166184669509,frozenset({'LUNCH BAG RED RETROSPOT'}),1
